#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
0.7%	370000	-930688.1047967072	301.10236289696917	475
0.8%	380000	-930752.7484811167	298.4846558550424	475
0.8%	390000	-931040.7471460477	300.00551339333583	475
0.8%	400000	-930309.4453673437	300.17824643804636	475
0.8%	410000	-928104.9523647986	301.21481754176904	475
0.8%	420000	-928501.8897404117	300.45137902403536	475
0.9%	430000	-929435.5259025898	299.5237470840197	475
0.9%	440000	-931448.9291506866	301.20895963285284	475
0.9%	450000	-928821.6718352023	301.0278263904171	475
0.9%	460000	-929240.0826888233	299.27772116409534	475
0.9%	470000	-929814.890496817	301.08995986532244	475
1.0%	480000	-929566.3535461626	298.4266589601828	475
1.0%	490000	-929737.6960095568	300.2532443618863	475
1.0%	500000	-930204.5125827561	299.3810643879355	475
1.0%	510000	-928941.5317446431	300.2322203449522	475
1.0%	520000	-931755.8719052635	300.8079565891365	475
1.1%	530000	-930121.729551265	298.6801129210014	475
1.1%	540000	-930280.4141030959	299.86009733558586	475
1.1%	550000	-929588.8226928366	300.17984825743156	475
1.1%	560000	-930680.6678751027	300.87097284238905	475
1.1%	570000	-929881.2582086124	299.23557894229594	475
1.2%	580000	-928970.4208469298	300.39456998427335	475
1.2%	590000	-930276.1381056462	301.3847500197959	475
1.2%	600000	-930659.9225093196	301.4901759817763	475
1.2%	610000	-929192.4806939964	299.7893678637646	475
1.2%	620000	-929142.8678032286	301.7620289369063	475
1.3%	630000	-931423.4841689877	299.64611292626125	475
1.3%	640000	-929156.4028731706	301.0100789592826	475
1.3%	650000	-930603.046557751	299.42482307542923	475
1.3%	660000	-930052.2550910432	301.0479213429881	475
1.3%	670000	-929257.6856806367	298.75512195947505	475
1.4%	680000	-930086.9106993387	301.39598952602523	475
1.4%	690000	-930337.8805990475	300.0639734455426	475
1.4%	700000	-929678.1096977289	299.1633577753445	475
1.4%	710000	-929079.4981719754	300.5414811083755	475
1.4%	720000	-932061.3146320786	298.26539983808107	475
1.5%	730000	-929250.2957658703	299.6263323009562	475
1.5%	740000	-930738.758233598	299.0420721303422	475
1.5%	750000	-930248.0899289143	300.21092195362576	475
1.5%	760000	-929251.2502134372	300.12287583042973	475
1.5%	770000	-930912.2198868152	300.96595257922905	475
1.6%	780000	-930350.3258512774	301.66531474228947	475
1.6%	790000	-928430.6963687874	297.9931865644152	475
1.6%	800000	-930128.866060283	300.68635602947734	475
1.6%	810000	-930250.5310614072	298.5763901197754	475
1.6%	820000	-932428.6151825297	299.6061817414518	475
1.7%	830000	-929773.4949007584	301.6810871893781	475
1.7%	840000	-930195.3500321778	303.9016419130428	475
1.7%	850000	-929305.8680511564	299.33789737342494	475
