#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
22.8%	114000	-1328263.7251082603	300.50478926149265	225
23.0%	115000	-1327217.7605431266	300.48205772311695	225
23.2%	116000	-1327979.4004649697	301.88729934870713	225
23.4%	117000	-1327094.4926362392	298.8895075710367	225
23.6%	118000	-1326452.9073291477	300.04236116059775	225
23.8%	119000	-1325934.3434717348	300.4913929498496	226
24.0%	120000	-1325642.4524366902	301.2321831965204	225
24.2%	121000	-1326292.5859018639	299.4660721648511	225
24.4%	122000	-1326609.6383997956	299.16469453548405	225
24.6%	123000	-1326963.8369761948	300.79148795370463	225
24.8%	124000	-1325192.5753586981	298.38892121482166	225
25.0%	125000	-1326451.151067459	301.85711530336937	225
25.2%	126000	-1325278.817760598	299.8976347158629	225
25.4%	127000	-1326885.3426607512	297.55934147061663	225
25.6%	128000	-1325939.4225891978	299.23767421495654	225
25.8%	129000	-1325921.3656558702	299.07647876243857	225
26.0%	130000	-1326844.648833437	301.1083881790194	225
26.2%	131000	-1326693.9114672886	302.84531580686655	225
26.4%	132000	-1326068.7786948616	301.2665082014981	225
26.6%	133000	-1324348.2434659842	300.60587594287773	225
26.8%	134000	-1324664.6111566024	300.16574141285673	225
27.0%	135000	-1325270.4685674217	300.196902107495	225
27.2%	136000	-1327086.0256198905	298.9805736131518	225
27.4%	137000	-1326384.2212240715	301.71115969266236	225
27.6%	138000	-1328159.6526192734	301.1588533521822	225
27.8%	139000	-1325605.0119033735	300.16335291452106	225
28.0%	140000	-1324632.4999284446	300.3930914679443	225
28.2%	141000	-1325048.4200172145	300.2138101192578	225
28.4%	142000	-1327032.1956458613	301.38843780168463	225
28.6%	143000	-1327330.8351518149	299.53747849142997	225
28.8%	144000	-1325273.428245224	300.3952294545187	225
29.0%	145000	-1324374.6848041536	299.4498420918867	225
29.2%	146000	-1325738.393969738	300.50545942508086	225
29.4%	147000	-1326553.248528828	300.02185790678857	225
29.6%	148000	-1326162.7168811709	300.7606764544961	225
29.8%	149000	-1327444.148019107	300.2269623812981	225
30.0%	150000	-1326926.2385668354	299.0367018880767	225
30.2%	151000	-1325915.8382703792	301.7640162508439	225
30.4%	152000	-1326119.5584938666	300.34703072672016	225
30.6%	153000	-1326239.8538337592	300.55470553681795	225
30.8%	154000	-1327651.0213764394	301.357314927512	225
