#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
0.6%	63000	-885096.9119258136	300.14464008110747	511
0.6%	64000	-884368.242669831	299.8818515112437	511
0.7%	65000	-884506.8296376616	299.3129812577634	512
0.7%	66000	-885229.1822084873	302.13781984822015	513
0.7%	67000	-885497.9408509084	299.87962017578246	513
0.7%	68000	-885054.0471285628	299.5966673013221	514
0.7%	69000	-884567.4308007113	298.7167416720297	514
0.7%	70000	-885768.7845659838	300.0324579052792	509
0.7%	71000	-884672.9378389372	300.9276627570486	509
0.7%	72000	-884425.6620523976	300.3526985753865	509
0.7%	73000	-884130.8042982821	299.5794397486322	510
0.7%	74000	-884752.9087304301	300.0130410511819	510
0.8%	75000	-884309.1016879282	299.56397603671365	511
0.8%	76000	-884127.160645925	299.91357173752914	511
0.8%	77000	-882896.8632866391	298.46752509279713	512
0.8%	78000	-884420.8542905855	300.4798336090981	512
0.8%	79000	-885609.1632014094	300.28689725324784	513
0.8%	80000	-885787.1120485296	298.6372874863541	510
0.8%	81000	-885377.1895744465	298.26684529942935	510
0.8%	82000	-885134.203382513	300.0046470700323	510
0.8%	83000	-884236.3891793899	298.1155961031319	511
0.8%	84000	-884646.2977844574	297.97595118939324	511
0.8%	85000	-883056.5526408101	298.57423038014537	512
0.9%	86000	-883864.2058381895	300.10353890883846	512
0.9%	87000	-883722.5991274784	298.81205165830613	513
0.9%	88000	-883981.2191138039	302.3942791882998	513
0.9%	89000	-883028.7188961701	300.64759896573383	514
0.9%	90000	-884228.3070601597	300.80809163685973	510
0.9%	91000	-883637.1280307802	300.2887240009658	509
0.9%	92000	-883417.1806587814	301.589663663703	510
0.9%	93000	-883343.8139156541	302.01694059416684	510
0.9%	94000	-883098.0257881084	300.9628640424829	511
0.9%	95000	-884292.9994054888	301.5899113443566	511
1.0%	96000	-884725.7927757213	301.1978336532902	511
1.0%	97000	-883511.1601826772	298.8756397961304	512
1.0%	98000	-883991.0924993875	300.8313791631041	512
1.0%	99000	-884195.8482217793	299.08702104653617	513
1.0%	100000	-884869.4080567639	301.4169693564811	509
1.0%	101000	-885057.5661514332	301.69109753814865	509
1.0%	102000	-885868.293559826	299.00103817038786	510
1.0%	103000	-885812.4127433761	301.37344370401416	510
1.0%	104000	-885013.2090456178	301.4633708555934	510
1.1%	105000	-886200.4473192911	298.5308157704233	511
1.1%	106000	-884685.0602832721	297.9728057035989	511
1.1%	107000	-883893.7224046029	298.5287177961653	512
1.1%	108000	-884626.0186416018	301.6232326403144	512
1.1%	109000	-882716.7660239213	299.0984197451125	512
1.1%	110000	-884285.5629700208	299.8182966044339	509
1.1%	111000	-884046.4753824067	302.02702424337593	509
1.1%	112000	-884152.2125145514	300.6808063382023	509
1.1%	113000	-885064.6230626428	300.6007087675634	510
1.1%	114000	-886847.7328469348	303.4553861898276	510
1.1%	115000	-885943.4153839028	301.4925834167233	510
1.2%	116000	-885430.3503957004	300.41538133398745	511
1.2%	117000	-884618.463659069	299.92614206018845	511
1.2%	118000	-884693.5388330603	301.33867869254107	511
1.2%	119000	-884456.9275533115	300.74588941526656	512
1.2%	120000	-884032.1964662522	302.26960979892254	509
1.2%	121000	-883781.325738804	300.67341928671294	508
1.2%	122000	-883492.6029924573	302.5226604658336	509
1.2%	123000	-882797.3520508278	301.06099256622906	509
1.2%	124000	-883914.2364989198	301.6983514530816	510
1.2%	125000	-883412.0722366483	301.865388131909	510
1.3%	126000	-884897.3874543449	300.6361713556467	510
1.3%	127000	-884968.1047693705	297.87980648646584	510
1.3%	128000	-885404.5589571204	299.8279449018661	511
1.3%	129000	-884420.5350527894	300.95245279883824	511
1.3%	130000	-884822.9749458525	299.4527335164326	509
1.3%	131000	-883792.5806398811	300.65252338710116	509
1.3%	132000	-884486.2974349987	302.8488060761421	510
1.3%	133000	-884678.4486866463	299.48827049978104	510
1.3%	134000	-885564.462611998	303.0366573001388	510
1.4%	135000	-884668.0265512527	300.5647857772702	510
